"AllY1","AllY2","AllY3","ace.or1","ace.or2","ace.cond.or1","ace.cond.or2","betaE1","betaE2","betaU1","betaU2"
48936,255,809,1.90690142235167,2.79381494415841,0.886176677981946,1.26833753682647,1,1.25,2,2
48967,240,793,2.42493159816418,3.02061819755937,1.07575931061212,1.34294135446764,1,1.25,2,2
48996,220,784,2.57227258662348,2.78495418013351,1.13235711249124,1.24735312794961,1,1.25,2,2
48973,236,791,2.51960056479905,2.50283466376482,1.32052338917941,1.09342258206652,1,1.25,2,2
49044,244,712,1.90772111818246,2.68491362609044,0.821312753128225,1.28642783614817,1,1.25,2,2
48971,279,750,2.20755556845329,3.19738284757726,0.997774693738853,1.41697308435056,1,1.25,2,2
48976,251,773,2.24822414654665,2.71754789902146,1.00307378009862,1.19754031222701,1,1.25,2,2
48960,251,789,1.84003176576203,3.17636867748449,0.795650039353159,1.39151035038991,1,1.25,2,2
48971,270,759,2.90034142633643,2.69065529336576,1.47171104049327,1.20098287959256,1,1.25,2,2
48950,231,819,2.58534271483912,2.82609626584447,1.14718101179152,1.24266952872408,1,1.25,2,2
49035,223,742,2.22847434690515,2.72556559609832,0.91376711329594,1.25312267241304,1,1.25,2,2
49027,199,774,2.56767320975678,2.4534745970711,1.10505416346932,1.0696761134723,1,1.25,2,2
48953,245,802,2.14507110847282,2.85933949019264,1.00017432991694,1.39275431311218,1,1.25,2,2
48999,227,774,2.65435609963865,2.42670456601057,1.21934195849818,1.12850617078158,1,1.25,2,2
48959,236,805,1.89105924344753,2.5638950712981,0.813809987102503,1.27370674962467,1,1.25,2,2
49032,229,739,2.05840503703271,2.77204891467774,0.84442685240903,1.32139609903592,1,1.25,2,2
49006,229,765,2.01768505890643,3.22744481122344,0.84082484217432,1.41914995509154,1,1.25,2,2
48965,243,792,2.01336010819229,2.65061628922563,0.976990594788598,1.24709651380038,1,1.25,2,2
48991,236,773,2.17285305513342,2.7494818505518,0.971652991875063,1.24598814760962,1,1.25,2,2
48968,252,780,2.32379135815448,2.60264632113302,1.13434158171023,1.15350280086793,1,1.25,2,2
49009,227,764,1.87377292396456,2.81810022544584,0.888633803305192,1.21566359130975,1,1.25,2,2
48920,267,813,1.58950605553866,2.73363127320637,0.656608487162416,1.22155292528728,1,1.25,2,2
49013,223,764,1.85512684022681,2.43806036986721,0.893613021752372,1.091645253819,1,1.25,2,2
48943,267,790,2.39307651753225,2.63587589416285,1.07672743827492,1.18365539588936,1,1.25,2,2
48907,272,821,1.96441226279136,2.65449798786339,0.733342510232536,1.26646130704207,1,1.25,2,2
48989,265,746,2.58800808814427,2.57323048486042,1.14555050797214,1.0707179561046,1,1.25,2,2
48976,226,798,1.9461595820839,2.89026319116806,0.962565753517101,1.32181533190883,1,1.25,2,2
49017,223,760,1.7782293128448,3.08618971092019,0.855864629140944,1.30986049472374,1,1.25,2,2
48940,229,831,1.76962024568165,3.03154254501602,0.863591358790151,1.26378418211624,1,1.25,2,2
48952,241,807,2.21948559948164,2.94405193562944,0.936145421919361,1.30343792617668,1,1.25,2,2
48956,241,803,2.04482199481118,2.69256063913026,0.868649736884056,1.27534350177026,1,1.25,2,2
49001,221,778,2.06742542430972,2.38523722613856,0.946338867104578,1.01971771814147,1,1.25,2,2
48965,208,827,1.96628365266605,2.4728436428967,0.904799714256723,1.09361220784831,1,1.25,2,2
48976,243,781,2.34234718629623,2.8818070852559,1.03534193789564,1.37193307041975,1,1.25,2,2
49048,225,727,2.28087070488347,2.75234062573512,1.04228801867387,1.16220803661287,1,1.25,2,2
49010,249,741,2.46830342774039,2.92738507556675,1.14211881180765,1.41518585559156,1,1.25,2,2
48944,274,782,2.49798361288698,2.65182429407949,1.13201804785395,1.21703450084259,1,1.25,2,2
